"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"CPS1",-1.45471348406667,10.0790043335625,-1.00929657568794,0.339513443737094,0.999950192382521,-4.59880667889145,"Downregulated"
"SERPINC1",-1.34945792037573,8.99431790865618,-1.00835163492629,0.339942371182413,0.999950192382521,-4.59892749771008,"Downregulated"
"CYP2C18",-1.30163256758411,7.13732945526147,-1.00441474743598,0.341733796891578,0.999950192382521,-4.59943011179319,"Downregulated"
"HLMR1",-1.10714652982008,6.15239802056079,-0.987236483919705,0.34963357977805,0.999950192382521,-4.6016088964059,"Downregulated"
"HSD17B6",-1.33562756702073,7.46522786297831,-0.98604129704526,0.350188246909915,0.999950192382521,-4.60175960951924,"Downregulated"
"ABCA6",-1.08460985537028,6.68234043367756,-0.981031391848306,0.352520402417836,0.999950192382521,-4.60239010308519,"Downregulated"
"F9",-1.27381247531346,8.53773163692727,-0.952715684925441,0.365918695106538,0.999950192382521,-4.60591486657863,"Downregulated"
"HPD",-1.47725823538706,7.63127021377499,-0.932801844796348,0.375562877731173,0.999950192382521,-4.60835332128806,"Downregulated"
"ALDOB",-1.48220208278229,9.48091343980262,-0.927807416570162,0.37801038973461,0.999950192382521,-4.60895952373976,"Downregulated"
"CYP3A7-CYP3A51P",-1.32947201355261,7.84959665273411,-0.92131276242341,0.38121033140519,0.999950192382521,-4.60974455283625,"Downregulated"
"HMGCS2",-1.09998718479746,7.32791517276285,-0.920060833272067,0.381829403809168,0.999950192382521,-4.60989545074052,"Downregulated"
"PHYH",-1.0566397399063,7.86170476890902,-0.912291215830603,0.385687646062394,0.999950192382521,-4.61082883573118,"Downregulated"
"ADH4",-1.41544936241757,8.8712913713086,-0.911434304066261,0.386114881307132,0.999950192382521,-4.61093144998119,"Downregulated"
"OTC",-1.04113564641156,6.48523536176283,-0.903571548554064,0.390050914578007,0.999950192382521,-4.61186993441584,"Downregulated"
"CYP4A11",-1.37841673246508,7.89562380192814,-0.890607277791288,0.396603170378402,0.999950192382521,-4.61340511532909,"Downregulated"
"PIPOX",-1.0943097889835,8.34014168528247,-0.88262504694935,0.400676122363652,0.999950192382521,-4.61434268686693,"Downregulated"
"HSD11B1",-1.22595518287419,7.69885448832496,-0.859357329055002,0.412716555504736,0.999950192382521,-4.61704174404962,"Downregulated"
"NAT2",-1.1146872006051,5.04944899961138,-0.856960091981902,0.413971268863021,0.999950192382521,-4.61731691500528,"Downregulated"
"G6PC1",-1.19520803509484,9.37695048857711,-0.849932658267979,0.417664702979465,0.999950192382521,-4.61812039834711,"Downregulated"
"SULT2A1",-1.36209324434837,8.38580841386042,-0.840845115550275,0.422474629999939,0.999950192382521,-4.61915235794352,"Downregulated"
"HRG-AS1",-1.01177354175965,6.58794072648675,-0.830048095179523,0.428238785728959,0.999950192382521,-4.62036797166753,"Downregulated"
"HRG",-1.49592351560494,10.2837603949187,-0.811011138957312,0.438532417083761,0.999950192382521,-4.62248318631586,"Downregulated"
"GLYAT",-1.07937146940653,6.66714601225399,-0.782501245236953,0.454258344315497,0.999950192382521,-4.62558235357797,"Downregulated"
"AKR1D1",-1.07932517711026,6.24209914507756,-0.779166211157277,0.456122126788537,0.999950192382521,-4.62593941313692,"Downregulated"
"CYP2C8",-1.2519621435818,7.34897790014407,-0.74434105474204,0.475884814543789,0.999950192382521,-4.62959775533573,"Downregulated"
"SLC22A1",-1.08307378184446,7.12279504530639,-0.71776852395296,0.491330433512289,0.999950192382521,-4.63230111437316,"Downregulated"
